靡ㄩ絏,虏嘿,るら,Μ絃基(じ)
COID,Name,MDATE,CLOSE
1326   ,て         ,20190109,    83.4202
1303   ,玭ㄈ         ,20190109,    54.9840
1216   ,参         ,20190109,    55.4790
2912   ,参禬       ,20190109,   254.5488
9907   ,参龟       ,20190109,     9.3141
2855   ,参靡       ,20190109,     7.2029
1232   ,参痲       ,20190109,    74.0483
2317   ,翬         ,20190109,    52.0293
2354   ,翬非         ,20190109,    46.9729
3413   ,ㄊ供         ,20190109,    96.1213
6451   ,癟-KY      ,20190109,    69.6733
2330   ,縩筿       ,20190109,   181.4676
3443   ,承種         ,20190109,   167.1118
5347   ,         ,20190109,    41.7489
3374   ,弘         ,20190109,    30.3914
1560   ,い         ,20190109,    46.4232
2303   ,羛筿         ,20190109,     7.6529
2329   ,地         ,20190109,    10.3719
2379   ,风琑         ,20190109,   105.5302
2363   ,参         ,20190109,     8.4056
2449   ,ㄊじ筿     ,20190109,    15.6099
2454   ,羛祇       ,20190109,   152.9979
2451   ,承ǎ         ,20190109,    43.5333
0051   ,じい100  ,20190109,    22.5091
0052   ,碔üм     ,20190109,     5.3019
0053   ,じ筿     ,20190109,    25.0825
0050   ,じ芖50   ,20190110,    14.7176
1301   ,鹅         ,20190110,    75.6513
6505   ,鹅て       ,20190110,    92.5558
1326   ,て         ,20190110,    82.2670
1303   ,玭ㄈ         ,20190110,    55.2054
1216   ,参         ,20190110,    54.2478
2912   ,参禬       ,20190110,   256.1423
9907   ,参龟       ,20190110,     9.2393
2855   ,参靡       ,20190110,     7.3453
1232   ,参痲       ,20190110,    74.0483
2317   ,翬         ,20190110,    51.5827
2354   ,翬非         ,20190110,    46.2588
3413   ,ㄊ供         ,20190110,    95.3875
6451   ,癟-KY      ,20190110,    70.0182
2330   ,縩筿       ,20190110,   181.8886
3443   ,承種         ,20190110,   166.2109
5347   ,         ,20190110,    40.5252
3374   ,弘         ,20190110,    30.6652
1560   ,い         ,20190110,    46.2628
2303   ,羛筿         ,20190110,     7.6873
2329   ,地         ,20190110,    10.2865
2379   ,风琑         ,20190110,   105.8954
2363   ,参         ,20190110,     8.3055
2449   ,ㄊじ筿     ,20190110,    15.4309
2454   ,羛祇       ,20190110,   152.9979
2451   ,承ǎ         ,20190110,    42.9554
0051   ,じい100  ,20190110,    22.6750
0052   ,碔üм     ,20190110,     5.3075
0053   ,じ筿     ,20190110,    25.0825
0050   ,じ芖50   ,20190111,    14.8553
1301   ,鹅         ,20190111,    76.4040
6505   ,鹅て       ,20190111,    91.7257
1326   ,て         ,20190111,    81.4981
1303   ,玭ㄈ         ,20190111,    55.2792
1216   ,参         ,20190111,    54.7095
2912   ,参禬       ,20190111,   255.7439
9907   ,参龟       ,20190111,     9.3515
2855   ,参靡       ,20190111,     7.2884
1232   ,参痲       ,20190111,    73.8225
2317   ,翬         ,20190111,    51.6571
2354   ,翬非         ,20190111,    46.2588
3413   ,ㄊ供         ,20190111,    92.0856
6451   ,癟-KY      ,20190111,    69.5870
2330   ,縩筿       ,20190111,   185.6780
3443   ,承種         ,20190111,   166.6613
5347   ,         ,20190111,    40.5252
3374   ,弘         ,20190111,    29.7982
1560   ,い         ,20190111,    46.4232
2303   ,羛筿         ,20190111,     7.7218
2329   ,地         ,20190111,    10.8414
2379   ,风琑         ,20190111,   106.9909
2363   ,参         ,20190111,     8.0963
2449   ,ㄊじ筿     ,20190111,    15.4309
2454   ,羛祇       ,20190111,   154.0134
2451   ,承ǎ         ,20190111,    42.0565
0051   ,じい100  ,20190111,    22.4459
0052   ,碔üм     ,20190111,     5.3834
0053   ,じ筿     ,20190111,    25.2402
0050   ,じ芖50   ,20190114,    14.7569
1301   ,鹅         ,20190114,    76.4040
6505   ,鹅て       ,20190114,    90.8956
1326   ,て         ,20190114,    81.4981
1303   ,玭ㄈ         ,20190114,    55.4268
1216   ,参         ,20190114,    54.8634
2912   ,参禬       ,20190114,   251.7604
9907   ,参龟       ,20190114,     9.4263
2855   ,参靡       ,20190114,     7.3168
1232   ,参痲       ,20190114,    73.8225
2317   ,翬         ,20190114,    51.1361
2354   ,翬非         ,20190114,    45.8620
3413   ,ㄊ供         ,20190114,    91.3519
6451   ,癟-KY      ,20190114,    68.0349
2330   ,縩筿       ,20190114,   183.9938
3443   ,承種         ,20190114,   168.9135
5347   ,         ,20190114,    40.0933
3374   ,弘         ,20190114,    29.2050
